LEAID,LEA_NAME,ST,d_Locale_Txt,SCHOOL_YEAR,AIAN,Asian,Black,Hispanic,White,Multi,Total,diverse,variance,int_group
408340,tempe union high school district,AZ,city-midsize,2016-2017,4.32225815936489,5.79241399588356,11.6215818876801,34.1737724198765,40.1426051161423,3.94736842105263,13604,Diverse,0.158628544752254,Somewhat integrated
408800,tucson unified district,AZ,city-large,2016-2017,3.57923614385529,2.06395473445068,5.99039821681169,63.9290153885722,20.4616571649021,3.97573835140812,46658,Diverse,0.146958511158335,Somewhat integrated
408850,vail unified district,AZ,city-large,2016-2017,0.475548862645637,2.59966711579615,4.40675279384957,33.1933106126654,55.0051517793453,4.31956883569787,12617,Diverse,0.0126487854406909,Highly integrated
409060,washington elementary school district,AZ,city-large,2016-2017,3.690036900369,2.94773877971338,8.43130524328499,53.690036900369,27.7396378614949,3.50124431476873,23306,Diverse,0.108728990766222,Somewhat integrated
409600,yuma elementary district,AZ,city-small,2016-2017,1.43826005612722,1.2043966323667,1.77736202057998,70.6501403180543,24.099625818522,0.83021515434986,8552,Diverse,0.0842687564448118,Somewhat integrated
500019,batesville school district,AR,rural-fringe,2016-2017,0.469777638584403,1.59724397118697,5.76260569996868,19.4801127466333,69.5270905104917,3.16316943313498,3193,Diverse,0.0405170655124361,Highly integrated
500419,jacksonville north pulaski school district,AR,suburban-large,2016-2017,0.35650623885918,1.04405398523046,50.7766743060861,7.35930735930736,35.8034122740005,4.66004583651643,3927,Diverse,0.0795168156492273,Somewhat integrated
503060,bentonville school district,AR,city-small,2016-2017,1.23427057619363,7.06243602865916,2.98031187910169,10.9278102233729,73.9177554338009,3.8774158588717,16609,Diverse,0.0102770592116587,Highly integrated
503690,bryant school district,AR,suburban-large,2016-2017,0.16210958608019,1.95612233870096,15.2815303144926,11.9204582297633,69.2424078677186,1.43737166324435,9253,Diverse,0.0237694259266726,Highly integrated
504590,conway school district,AR,city-small,2016-2017,0.215728574230241,1.53951755246127,28.7703471268876,9.9137085703079,57.3838007452442,2.1768974308688,10198,Diverse,0.0221489742574961,Highly integrated
505680,el dorado school district,AR,town-remote,2016-2017,0.135715901379778,1.19882379552138,49.0612983487899,9.18344266003167,37.4802080977154,2.94051119656186,4421,Diverse,0.0388984945376147,Highly integrated
506120,fayetteville school district,AR,city-small,2016-2017,0.621434392828036,4.40097799511002,9.61695191524042,12.4694376528117,67.481662591687,5.40953545232274,9816,Diverse,0.0495534591760798,Highly integrated
506330,fort smith school district,AR,city-small,2016-2017,1.14640231977881,5.61062782385866,11.1942814754872,33.7918942612449,41.7897363274665,6.467057792164,14829,Diverse,0.225759844429551,Not integrated
507890,hot springs school district,AR,city-small,2016-2017,0.354107648725212,0.814447592067989,34.2776203966006,18.9447592067989,37.7832861189802,7.82577903682719,2824,Diverse,0.0260973657903555,Highly integrated
508280,jonesboro school district,AR,city-small,2016-2017,0.157294534014943,0.5505308690523,44.1211167911915,14.4907589461266,36.2957137239481,4.38458513566654,5086,Diverse,0.0658257750588037,Highly integrated
509000,little rock school district,AR,city-midsize,2016-2017,0.250174301767625,2.56736250666448,64.3645162613296,13.8170036500841,17.733666899069,1.26727638108518,24383,Diverse,0.260872338277927,Not integrated
509390,marion school district,AR,suburban-large,2016-2017,0.153925089789636,0.846587993842996,50.0,6.23396613648025,40.9953822473063,1.77013853258081,3898,Diverse,0.003784823514229,Highly integrated
510440,nettleton school district,AR,city-small,2016-2017,0.175438596491228,1.72514619883041,43.187134502924,8.04093567251462,43.3918128654971,3.47953216374269,3420,Diverse,0.0143649717899861,Highly integrated
510680,n. little rock school district,AR,city-small,2016-2017,0.354963948973932,1.22018857459789,60.9539656128674,8.58569051580699,28.075429839157,0.809761508596783,9015,Diverse,0.15991595639619,Somewhat integrated
511850,pulaski co. spec. school dist.,AR,rural-fringe,2016-2017,0.440971684976017,2.3441126411883,42.1708185053381,8.5796069936562,43.4627881788643,3.0017019959771,12926,Diverse,0.0636773688841356,Highly integrated
511970,rogers school district,AR,city-small,2016-2017,0.735001986491855,3.39027943318766,1.81432922791683,45.7290425109257,46.3647199046484,1.96662693682956,15102,Diverse,0.0705771513456289,Highly integrated
512060,russellville school district,AR,town-remote,2016-2017,0.403595670519171,1.99963309484498,6.97119794533113,23.7204182718767,62.8875435699872,4.01761144744084,5451,Diverse,0.0653614702399329,Highly integrated
512210,searcy school district,AR,town-distant,2016-2017,0.146127618119825,1.55869459327813,10.837798343887,8.74330248416951,73.331709693132,5.38236726741354,4106,Diverse,0.0180448903755489,Highly integrated
512660,springdale school district,AR,city-small,2016-2017,0.552337329920517,13.938659122547,2.42938614217073,47.1687098657326,34.6939691948449,1.21693834478423,22269,Diverse,0.0903156755112731,Somewhat integrated
513110,texarkana school district,AR,suburban-small,2016-2017,0.2,0.511111111111111,53.7111111111111,4.06666666666667,37.7555555555556,3.75555555555556,4500,Diverse,0.0306658955894819,Highly integrated
